iter	Passed	Remaining
0	2	224
1	3	195
2	5	181
3	6	166
4	8	165
5	10	169
6	12	167
7	14	166
8	16	165
9	18	162
10	19	160
11	21	157
12	23	154
13	24	149
14	25	146
15	27	142
16	28	139
17	29	135
18	30	132
19	32	128
20	32	124
21	33	120
22	34	116
23	35	113
24	36	110
25	37	106
26	38	103
27	39	101
28	40	98
29	41	96
30	42	93
31	42	91
32	43	88
33	44	85
34	45	83
35	45	81
36	46	78
37	47	76
38	47	74
39	48	72
40	48	70
41	49	68
42	49	66
43	50	64
44	51	62
45	51	60
46	52	59
47	53	57
48	54	56
49	54	54
50	55	53
51	56	51
52	56	50
53	57	49
54	58	47
55	58	46
56	59	45
57	60	43
58	61	42
59	61	41
60	62	39
61	63	38
62	63	37
63	64	36
64	65	35
65	65	33
66	66	32
67	67	31
68	67	30
69	68	29
70	69	28
71	69	27
72	70	26
73	71	25
74	71	23
75	72	22
76	73	21
77	74	20
78	74	19
79	75	18
80	76	17
81	76	16
82	77	15
83	78	14
84	79	13
85	79	12
86	80	12
87	80	11
88	81	10
89	82	9
90	83	8
91	84	7
92	84	6
93	85	5
94	86	4
95	87	3
96	88	2
97	89	1
98	89	0
99	90	0
